year,group,index,name,type,performers,note,
1987,第五组,17,戏剧小品,戏剧小品,赵丽蓉 杨俊 项汉 龚鸣 李建成 沙杰,,
1987,第五组,18,《大圣歌》,歌曲,胡寅寅,,
1988,第一组,1,序幕,开场,,,
1988,第一组,2,《拜大年》,联唱,聂建华等,,
1988,第一组,3,《评书贯口》,评书,刘兰芳,,
1988,第一组,4,《急诊》,小品,游本昌 赵丽蓉（已故，2000年7月） 王丽云 薛培培,,
1988,第一组,5,《新春乐》,幽默杂技,董峥臻 曲瞬绪 王解放 覃鸿植 王友民 乔海滨 韩志民 肖永福 王小兵,,
1988,第一组,6,《我们的祖国歌甜花香》,男声独唱,阎维文,,
1988,第一组,7,《男孩》,男声合唱,柳培德 李勇等,,
1988,第一组,8,《求全责备》,相声,刘伟 冯巩 牛振华（已故，2004年5月） 李艺 戴志诚 郑健 赵保乐,,
1988,第一组,9,《孙悟空与唐老鸭》,动画片,李扬,,
1988,第一组,10,《故乡情》,女声独唱,蒋丽萍（香港）,,
1988,第一组,11,《单雄信》,京剧,方荣翔（已故，1989年4月）,,
1988,第一组,12,《包龙图打坐在开封府》,拧擂拉戏,王开春,,
1988,第一组,13,《思念到永远》,女声独唱,程琳,,
1988,第一组,14,《看秧歌》,舞蹈,山西省歌舞剧院,,
1988,第一组,15,《人物速写》,评书,王刚 田连元 袁阔成,,
1988,第一组,16,《中国龙》,男声独唱,李双江,,
1988,第一组,17,《思念》,女声独唱,毛阿敏,,
1988,第一组,18,《雨中即景》,男声独唱,邓志乐,,
1988,第一组,19,《对话趣谈》,相声联说,常宝华 常圆 单联丽 王荃 李博成 李博良 卡尔罗 李立山,,
1988,第一组,20,广东电视台节目,插播节目,,,
1988,第一组,21,《金牌与黄牌》,小串场,朱时茂 刘全利 刘全刚,,
1988,第一组,22,《想亲亲》,对唱,卢秀梅 牛宝林,,
1988,第一组,23,《清官难断家务事》,小品,牛得草（已故，1998年6月） 朱世慧 郭达 杨蕾 石富宽 崔喜跃,,
1988,第一组,24,《影视歌曲联奏》,音乐猜谜,中央芭蕾舞团乐队,,
1988,第一组,25,《分手时再敬一个军礼》,合唱,总政离休干部艺术团 寇家伦 孟贵彬,,
1988,第一组,26,《热血颂》,歌曲,张暴默 吕金鹤 郁钧剑 佟铁鑫 金曼 温亚丽,,
1988,第一组,27,《道路》,女声独唱,董文华,,
1988,第一组,28,《攀比》,相声,笑林 李国盛,,
1988,第一组,29,拉场戏《驱邪》,插播节目,赵本山 李静 李海,,
1988,第一组,29,冰上集体婚礼,插播节目,,,
1988,第一组,29,《好凉快》,插播节目,,,
1988,第一组,30,《狗娃与黑妞》,歌剧小品,陈佩斯 小香玉,,
1988,第二组,1,《轻功表演》,气功表演,张加陵,,
1988,第二组,2,《娜鲁湾情歌》,男声独唱,万沙浪,,
1988,第二组,3,《相聚在龙年》,对唱,万沙浪 韦唯,,
1988,第二组,4,《电梯奇遇》,相声,姜昆 唐杰忠,,
1988,第二组,5,《我们是黄河泰山》,女声独唱,彭丽媛,,
1988,第二组,6,《快乐的马车夫》,男声独唱,帕尔哈提,,
1988,第二组,7,《踢足球》,独角戏,石国庆,,
1988,第二组,8,《三百六十五里路》,女声独唱,包娜娜,,
1988,第二组,9,《接妻》,小品,沈伐 岳红,,
1988,第二组,10,小魔术,魔术,姚金芬 秦鸣晓,,
1988,第二组,11,《节日之夜》,民族大联舞,姜昌善（朝鲜族） 李忠梅 郎晓兰 赵青 高娃 齐木格（蒙古族） 丁洁 官明军 沈培艺 李恒达 杨丽萍,,
1988,第二组,12,零点钟声,倒计时,,,
1988,第二组,13,邓颖超致新年祝辞,特别环节,邓颖超（已故，1992年7月）,,
1988,第二组,13,留美学生联欢会,录像,,,
1988,第二组,14,《龙的传人》,歌曲,侯德健,,
1988,第二组,15,《门铃声声》,小品,李文启 熊小田,,
1988,第二组,16,四川电视台节目,插播节目,,,
1988,第二组,17,《巧立名目》,相声,牛群 李立山,,
1988,第二组,18,《西游记》演员表演节目,特别节目,,,
1988,第二组,19,《我们是朋友》,结束曲,全体演员 观众,,
1989,第一组,1,′89《春节序曲》,开场,,,
1989,第一组,2,《送春联》,相声,李金斗 陈涌泉,,
1989,第一组,3,《采槟榔》,歌曲,张也,,
